code,name,note,parentId
"330185","临安市","浙江省-杭州市-临安市","330100"
"330201","市辖区","浙江省-宁波市-市辖区","330200"
"330204","江东区","浙江省-宁波市-江东区","330200"
"330283","奉化市","浙江省-宁波市-奉化市","330200"
"330301","市辖区","浙江省-温州市-市辖区","330300"
"330401","市辖区","浙江省-嘉兴市-市辖区","330400"
"330501","市辖区","浙江省-湖州市-市辖区","330500"
"330601","市辖区","浙江省-绍兴市-市辖区","330600"
"330701","市辖区","浙江省-金华市-市辖区","330700"
"330801","市辖区","浙江省-衢州市-市辖区","330800"
"330901","市辖区","浙江省-舟山市-市辖区","330900"
"331001","市辖区","浙江省-台州市-市辖区","331000"
"331021","玉环县","浙江省-台州市-玉环县","331000"
"331101","市辖区","浙江省-丽水市-市辖区","331100"
"340101","市辖区","安徽省-合肥市-市辖区","340100"
"340201","市辖区","安徽省-芜湖市-市辖区","340200"
"340301","市辖区","安徽省-蚌埠市-市辖区","340300"
"340401","市辖区","安徽省-淮南市-市辖区","340400"
"340501","市辖区","安徽省-马鞍山市-市辖区","340500"
"340601","市辖区","安徽省-淮北市-市辖区","340600"
"340701","市辖区","安徽省-铜陵市-市辖区","340700"
"340801","市辖区","安徽省-安庆市-市辖区","340800"
"340824","潜山县","安徽省-安庆市-潜山县","340800"
"341001","市辖区","安徽省-黄山市-市辖区","341000"
"341101","市辖区","安徽省-滁州市-市辖区","341100"
"341201","市辖区","安徽省-阜阳市-市辖区","341200"
"341301","市辖区","安徽省-宿州市-市辖区","341300"
"341501","市辖区","安徽省-六安市-市辖区","341500"
"341601","市辖区","安徽省-亳州市-市辖区","341600"
"341701","市辖区","安徽省-池州市-市辖区","341700"
"341801","市辖区","安徽省-宣城市-市辖区","341800"
"341822","广德县","安徽省-宣城市-广德县","341800"
"350101","市辖区","福建省-福州市-市辖区","350100"
"350182","长乐市","福建省-福州市-长乐市","350100"
"350201","市辖区","福建省-厦门市-市辖区","350200"
"350301","市辖区","福建省-莆田市-市辖区","350300"
"350401","市辖区","福建省-三明市-市辖区","350400"
"350501","市辖区","福建省-泉州市-市辖区","350500"
"350601","市辖区","福建省-漳州市-市辖区","350600"
"350701","市辖区","福建省-南平市-市辖区","350700"
"350801","市辖区","福建省-龙岩市-市辖区","350800"
"350901","市辖区","福建省-宁德市-市辖区","350900"
"360101","市辖区","江西省-南昌市-市辖区","360100"
"360201","市辖区","江西省-南昌市-市辖区","360100"
"360301","市辖区","江西省-萍乡市-市辖区","360300"
"360401","市辖区","江西省-九江市-市辖区","360400"
"360421","九江县","江西省-九江市-九江县","360400"
"360501","市辖区","江西省-新余市-市辖区","360500"
"360601","市辖区","江西省-鹰潭市-市辖区","360600"
"360622","余江县","江西省-鹰潭市-余江县","360600"
"360701","市辖区","江西省-赣州市-市辖区","360700"
"360721","赣县","江西省-赣州市-赣县","360700"
"360801","市辖区","江西省-吉安市-市辖区","360800"
"360901","市辖区","江西省-宜春市-市辖区","360900"
"361001","市辖区","江西省-抚州市-市辖区","361000"
"361029","东乡县","江西省-抚州市-东乡县","361000"
"361101","市辖区","江西省-上饶市-市辖区","361100"
"361121","上饶县","江西省-上饶市-上饶县","361100"
"370101","市辖区","山东省-济南市-市辖区","370100"
"370125","济阳县","山东省-济南市-济阳县","370100"
"370181","章丘市","山东省-济南市-章丘市","370100"
"370201","市辖区","山东省-青岛市-市辖区","370200"
"370282","即墨市","山东省-青岛市-即墨市","370200"
"370301","市辖区","山东省-淄博市-市辖区","370300"
"370401","市辖区","山东省-枣庄市-市辖区","370400"
"370501","市辖区","山东省-枣庄市-市辖区","370400"
"370601","市辖区","山东省-烟台市-市辖区","370600"
"370701","市辖区","山东省-潍坊市-市辖区","370700"
"370801","市辖区","山东省-济宁市-市辖区","370800"
"370901","市辖区","山东省-泰安市-市辖区","370900"
"371001","市辖区","山东省-威海市-市辖区","371000"
"371101","市辖区","山东省-日照市-市辖区","371100"
"371200","莱芜市","山东省-莱芜市","370000"
"371201","市辖区","山东省-莱芜市-市辖区","371200"
"371202","莱城区","山东省-莱芜市-莱城区","371200"
"371203","钢城区","山东省-莱芜市-钢城区","371200"
"371301","市辖区","山东省-临沂市-市辖区","371300"
"371401","市辖区","山东省-德州市-市辖区","371400"
"371501","市辖区","山东省-聊城市-市辖区","371500"
"371601","市辖区","山东省-滨州市-市辖区","371600"
"371626","邹平县","山东省-滨州市-邹平县","371600"
"371701","市辖区","山东省-菏泽市-市辖区","371700"
"410101","市辖区","河南省-郑州市-市辖区","410100"
"410201","市辖区","河南省-开封市-市辖区","410200"
"410211","金明区","河南省-开封市-金明区","410200"
"410301","市辖区","河南省-洛阳市-市辖区","410300"
"410401","市辖区","河南省-平顶山市-市辖区","410400"
"410501","市辖区","河南省-安阳市-市辖区","410500"
"410601","市辖区","河南省-鹤壁市-市辖区","410600"
"410701","市辖区","河南省-新乡市-市辖区","410700"
"410801","市辖区","河南省-焦作市-市辖区","410800"
"410901","市辖区","河南省-濮阳市-市辖区","410900"
"411001","市辖区","河南省-许昌市-市辖区","411000"
"411023","许昌县","河南省-许昌市-许昌县","411000"
"411101","市辖区","河南省-漯河市-市辖区","411100"
"411201","市辖区","河南省-三门峡市-市辖区","411200"
"411301","市辖区","河南省-南阳市-市辖区","411300"
"411401","市辖区","河南省-商丘市-市辖区","411400"
"411501","市辖区","河南省-信阳市-市辖区","411500"
"411601","市辖区","河南省-周口市-市辖区","411600"
"411626","淮阳县","河南省-周口市-淮阳县","411600"
"411701","市辖区","河南省-驻马店市-市辖区","411700"
"419000","省直辖县级行政区划","河南省-省直辖县级行政区划","410000"
"420101","市辖区","湖北省-武汉市-市辖区","420100"
"420201","市辖区","湖北省-黄石市-市辖区","420200"
"420301","市辖区","湖北省-十堰市-市辖区","420300"
"420501","市辖区","湖北省-宜昌市-市辖区","420500"
"420601","市辖区","湖北省-襄阳市-市辖区","420600"
"420701","市辖区","湖北省-鄂州市-市辖区","420700"
"420801","市辖区","湖北省-荆门市-市辖区","420800"
"420821","京山县","湖北省-荆门市-京山县","420800"
"420901","市辖区","湖北省-孝感市-市辖区","420900"
"421001","市辖区","湖北省-荆州市-市辖区","421000"
"421101","市辖区","湖北省-黄冈市-市辖区","421100"
"421201","市辖区","湖北省-咸宁市-市辖区","421200"
"421301","市辖区","湖北省-随州市-市辖区","421300"
"429000","省直辖县级行政区划","湖北省-省直辖县级行政区划","420000"
"430101","市辖区","湖南省-长沙市-市辖区","430100"
"430124","宁乡县","湖南省-长沙市-宁乡县","430100"
"430201","市辖区","湖南省-株洲市-市辖区","430200"
"430221","株洲县","湖南省-株洲市-株洲县","430200"
"430301","市辖区","湖南省-湘潭市-市辖区","430300"
"430401","市辖区","湖南省-衡阳市-市辖区","430400"
"430501","市辖区","湖南省-邵阳市-市辖区","430500"
"430521","邵东县","湖南省-邵阳市-邵东县","430500"
"430601","市辖区","湖南省-岳阳市-市辖区","430600"
"430701","市辖区","湖南省-常德市-市辖区","430700"
"430801","市辖区","湖南省-张家界市-市辖区","430800"
"430901","市辖区","湖南省-益阳市-市辖区","430900"
"431001","市辖区","湖南省-郴州市-市辖区","431000"
"431101","市辖区","湖南省-永州市-市辖区","431100"
"431201","市辖区","湖南省-怀化市-市辖区","431200"
"431301","市辖区","湖南省-娄底市-市辖区","431300"
"440101","市辖区","广东省-广州市-市辖区","440100"
"440201","市辖区","广东省-韶关市-市辖区","440200"
"440301","市辖区","广东省-深圳市-市辖区","440300"
"440401","市辖区","广东省-珠海市-市辖区","440400"
"440501","市辖区","广东省-汕头市-市辖区","440500"
"440601","市辖区","广东省-佛山市-市辖区","440600"
"440701","市辖区","广东省-江门市-市辖区","440700"
"440801","市辖区","广东省-湛江市-市辖区","440800"
"440901","市辖区","广东省-茂名市-市辖区","440900"
"441201","市辖区","广东省-肇庆市-市辖区","441200"
"441301","市辖区","广东省-惠州市-市辖区","441300"
"441401","市辖区","广东省-梅州市-市辖区","441400"
